,Volume,Date
0,42754675,2015-06-01 00:00:00
1,61787799,2015-06-02 00:00:00
2,71500686,2015-06-03 00:00:00
3,67730985,2015-06-04 00:00:00
4,62435175,2015-06-05 00:00:00
5,57605454,2015-06-08 00:00:00
6,56360437,2015-06-09 00:00:00
7,52688997,2015-06-10 00:00:00
8,70509395,2015-06-11 00:00:00
9,61525325,2015-06-12 00:00:00
10,50713094,2015-06-15 00:00:00
11,46943667,2015-06-16 00:00:00
12,61759194,2015-06-17 00:00:00
13,68482361,2015-06-18 00:00:00
14,58754666,2015-06-19 00:00:00
15,53057805,2015-06-22 00:00:00
16,54325572,2015-06-23 00:00:00
17,49002462,2015-06-24 00:00:00
18,71063374,2015-06-25 00:00:00
19,49046893,2015-06-26 00:00:00
20,51212425,2015-06-29 00:00:00
21,59136541,2015-06-30 00:00:00
22,50157040,2015-07-01 00:00:00
23,39383505,2015-07-02 00:00:00
24,29953733,2015-07-03 00:00:00
25,34079452,2015-07-06 00:00:00
26,38077995,2015-07-07 00:00:00
27,51375765,2015-07-08 00:00:00
28,44009170,2015-07-09 00:00:00
29,53500364,2015-07-10 00:00:00
30,39068463,2015-07-13 00:00:00
31,35969329,2015-07-14 00:00:00
32,32968381,2015-07-15 00:00:00
33,40954776,2015-07-16 00:00:00
34,30920296,2015-07-17 00:00:00
35,29533225,2015-07-20 00:00:00
36,76973899,2015-07-21 00:00:00
37,54437055,2015-07-22 00:00:00
38,46482170,2015-07-23 00:00:00
39,46502716,2015-07-24 00:00:00
40,42247061,2015-07-27 00:00:00
41,61826269,2015-07-28 00:00:00
42,47093439,2015-07-29 00:00:00
43,55039842,2015-07-30 00:00:00
44,85307968,2015-07-31 00:00:00
45,70236741,2015-08-03 00:00:00
46,73542810,2015-08-04 00:00:00
47,47835658,2015-08-05 00:00:00
48,48291122,2015-08-06 00:00:00
49,37148906,2015-08-07 00:00:00
50,38521435,2015-08-10 00:00:00
51,69781931,2015-08-11 00:00:00
52,67047400,2015-08-12 00:00:00
53,56444405,2015-08-13 00:00:00
54,44548498,2015-08-14 00:00:00
55,48795203,2015-08-17 00:00:00
56,46615512,2015-08-18 00:00:00
57,43861017,2015-08-19 00:00:00
58,57498886,2015-08-20 00:00:00
59,68686841,2015-08-21 00:00:00
60,116604455,2015-08-24 00:00:00
61,110186814,2015-08-25 00:00:00
62,69242953,2015-08-26 00:00:00
63,100061536,2015-08-27 00:00:00
64,58893975,2015-08-28 00:00:00
65,72267845,2015-08-31 00:00:00
66,70816029,2015-09-01 00:00:00
67,79613689,2015-09-02 00:00:00
68,56934484,2015-09-03 00:00:00
69,72209392,2015-09-04 00:00:00
70,55719165,2015-09-07 00:00:00
71,57342461,2015-09-08 00:00:00
72,73516851,2015-09-09 00:00:00
73,52796001,2015-09-10 00:00:00
74,51926561,2015-09-11 00:00:00
75,42814639,2015-09-14 00:00:00
76,46422725,2015-09-15 00:00:00
77,46546292,2015-09-16 00:00:00
78,84394699,2015-09-18 00:00:00
79,39132871,2015-09-21 00:00:00
80,58027884,2015-09-22 00:00:00
81,48248202,2015-09-23 00:00:00
82,65852059,2015-09-24 00:00:00
83,44104344,2015-09-28 00:00:00
84,88875756,2015-09-29 00:00:00
85,66354609,2015-09-30 00:00:00
86,45906265,2015-10-01 00:00:00
87,62811754,2015-10-05 00:00:00
88,48088668,2015-10-06 00:00:00
89,42415516,2015-10-07 00:00:00
90,39981570,2015-10-08 00:00:00
91,50021278,2015-10-09 00:00:00
92,55946150,2015-10-12 00:00:00
93,45326649,2015-10-13 00:00:00
94,42576931,2015-10-14 00:00:00
95,45816363,2015-10-15 00:00:00
96,45712835,2015-10-16 00:00:00
97,48445327,2015-10-19 00:00:00
98,47025056,2015-10-20 00:00:00
99,40451693,2015-10-21 00:00:00
