,Volume,Date
0,83419095,2007-12-03 00:00:00
1,54918016,2007-12-04 00:00:00
2,80397070,2007-12-05 00:00:00
3,76682482,2007-12-06 00:00:00
4,94664019,2007-12-07 00:00:00
5,60884528,2007-12-10 00:00:00
6,68332119,2007-12-11 00:00:00
7,71653590,2007-12-12 00:00:00
8,61249808,2007-12-13 00:00:00
9,56153028,2007-12-14 00:00:00
10,62022699,2007-12-17 00:00:00
11,67916825,2007-12-18 00:00:00
12,62110974,2007-12-19 00:00:00
13,65577702,2007-12-20 00:00:00
14,68207449,2007-12-24 00:00:00
15,41858664,2007-12-26 00:00:00
16,67904989,2007-12-27 00:00:00
17,40604055,2007-12-28 00:00:00
18,40329611,2007-12-31 00:00:00
19,23173770,2008-01-01 00:00:00
20,63078384,2008-01-02 00:00:00
21,68945489,2008-01-03 00:00:00
22,60491180,2008-01-04 00:00:00
23,94472163,2008-01-07 00:00:00
24,103857172,2008-01-08 00:00:00
25,80995682,2008-01-09 00:00:00
26,104619628,2008-01-10 00:00:00
27,95052388,2008-01-11 00:00:00
28,102575343,2008-01-14 00:00:00
29,106351147,2008-01-15 00:00:00
30,126469156,2008-01-16 00:00:00
31,107523362,2008-01-17 00:00:00
32,102182710,2008-01-18 00:00:00
33,153250868,2008-01-21 00:00:00
34,163002417,2008-01-22 00:00:00
35,125216595,2008-01-23 00:00:00
36,103407069,2008-01-24 00:00:00
37,72475220,2008-01-25 00:00:00
38,59025754,2008-01-28 00:00:00
39,67938686,2008-01-29 00:00:00
40,56142674,2008-01-30 00:00:00
41,115058632,2008-01-31 00:00:00
42,68754321,2008-02-01 00:00:00
43,62783215,2008-02-04 00:00:00
44,47942489,2008-02-05 00:00:00
45,59458149,2008-02-06 00:00:00
46,66939178,2008-02-07 00:00:00
47,72936272,2008-02-08 00:00:00
48,90079332,2008-02-11 00:00:00
49,63762901,2008-02-12 00:00:00
50,69978904,2008-02-13 00:00:00
51,70642448,2008-02-14 00:00:00
52,62579428,2008-02-15 00:00:00
53,36681159,2008-02-18 00:00:00
54,46607552,2008-02-19 00:00:00
55,57286208,2008-02-20 00:00:00
56,49425419,2008-02-21 00:00:00
57,45602028,2008-02-22 00:00:00
58,66443987,2008-02-25 00:00:00
59,50939768,2008-02-26 00:00:00
60,54150840,2008-02-27 00:00:00
61,74956255,2008-02-28 00:00:00
62,90598378,2008-02-29 00:00:00
63,86708795,2008-03-03 00:00:00
64,117022519,2008-03-04 00:00:00
65,111124515,2008-03-05 00:00:00
66,116238313,2008-03-07 00:00:00
67,106988867,2008-03-10 00:00:00
68,108700380,2008-03-11 00:00:00
69,88409225,2008-03-12 00:00:00
70,73467695,2008-03-13 00:00:00
71,77679364,2008-03-14 00:00:00
72,100464151,2008-03-17 00:00:00
73,128756100,2008-03-18 00:00:00
74,121574691,2008-03-19 00:00:00
75,95971048,2008-03-24 00:00:00
76,97820112,2008-03-25 00:00:00
77,81893041,2008-03-26 00:00:00
78,118451191,2008-03-27 00:00:00
79,98796985,2008-03-28 00:00:00
80,100856229,2008-03-31 00:00:00
81,74394023,2008-04-01 00:00:00
82,78000868,2008-04-02 00:00:00
83,55795926,2008-04-03 00:00:00
84,72446676,2008-04-04 00:00:00
85,83017266,2008-04-07 00:00:00
86,84235752,2008-04-08 00:00:00
87,59187254,2008-04-09 00:00:00
88,81860241,2008-04-10 00:00:00
89,89626252,2008-04-11 00:00:00
90,116620225,2008-04-15 00:00:00
91,98317159,2008-04-16 00:00:00
92,115247499,2008-04-17 00:00:00
93,75964615,2008-04-21 00:00:00
94,85341350,2008-04-22 00:00:00
95,76889625,2008-04-23 00:00:00
96,103406249,2008-04-24 00:00:00
97,108643017,2008-04-25 00:00:00
98,88583072,2008-04-28 00:00:00
99,129491299,2008-04-29 00:00:00
100,99590773,2008-04-30 00:00:00
101,95300456,2008-05-02 00:00:00
102,77075096,2008-05-05 00:00:00
103,90801485,2008-05-06 00:00:00
104,105542510,2008-05-07 00:00:00
105,87280740,2008-05-08 00:00:00
106,91769210,2008-05-09 00:00:00
107,76965733,2008-05-12 00:00:00
108,90270708,2008-05-13 00:00:00
109,67842974,2008-05-14 00:00:00
110,88204662,2008-05-15 00:00:00
111,70472373,2008-05-16 00:00:00
112,82559478,2008-05-20 00:00:00
113,77772149,2008-05-21 00:00:00
114,74379646,2008-05-22 00:00:00
115,76760419,2008-05-23 00:00:00
116,87025685,2008-05-26 00:00:00
117,76648242,2008-05-27 00:00:00
118,101593086,2008-05-28 00:00:00
119,113079021,2008-05-29 00:00:00
120,120315327,2008-05-30 00:00:00
121,82038665,2008-06-02 00:00:00
122,90969144,2008-06-03 00:00:00
123,88521347,2008-06-04 00:00:00
124,132114879,2008-06-05 00:00:00
125,92560441,2008-06-06 00:00:00
126,106326171,2008-06-09 00:00:00
127,122923805,2008-06-10 00:00:00
128,89054878,2008-06-11 00:00:00
129,104874795,2008-06-12 00:00:00
130,82948973,2008-06-13 00:00:00
131,80650669,2008-06-16 00:00:00
132,78527131,2008-06-17 00:00:00
133,79937336,2008-06-18 00:00:00
134,57999690,2008-06-19 00:00:00
135,105131434,2008-06-20 00:00:00
136,84380875,2008-06-23 00:00:00
137,92140422,2008-06-24 00:00:00
138,118200736,2008-06-25 00:00:00
139,137719429,2008-06-26 00:00:00
140,114274255,2008-06-27 00:00:00
141,103655398,2008-06-30 00:00:00
142,119175560,2008-07-01 00:00:00
143,155692069,2008-07-02 00:00:00
144,137498097,2008-07-03 00:00:00
145,105260520,2008-07-04 00:00:00
146,88597048,2008-07-07 00:00:00
147,101229874,2008-07-08 00:00:00
148,113382625,2008-07-09 00:00:00
149,106084727,2008-07-10 00:00:00
150,139570509,2008-07-11 00:00:00
151,105709449,2008-07-14 00:00:00
152,136579771,2008-07-15 00:00:00
153,112638876,2008-07-16 00:00:00
154,146383651,2008-07-17 00:00:00
155,175470933,2008-07-18 00:00:00
156,114101080,2008-07-21 00:00:00
157,131825428,2008-07-22 00:00:00
158,164858115,2008-07-23 00:00:00
159,175533211,2008-07-24 00:00:00
160,170956050,2008-07-25 00:00:00
161,135517878,2008-07-28 00:00:00
162,151695585,2008-07-29 00:00:00
163,115937503,2008-07-30 00:00:00
164,126123344,2008-07-31 00:00:00
165,136221582,2008-08-01 00:00:00
166,102506877,2008-08-04 00:00:00
167,175055740,2008-08-05 00:00:00
168,212024505,2008-08-06 00:00:00
169,123782681,2008-08-07 00:00:00
170,126937557,2008-08-08 00:00:00
171,141843183,2008-08-11 00:00:00
172,139407406,2008-08-12 00:00:00
173,118561510,2008-08-13 00:00:00
174,111733088,2008-08-14 00:00:00
175,105327496,2008-08-18 00:00:00
176,79506152,2008-08-19 00:00:00
177,77237022,2008-08-20 00:00:00
178,74537376,2008-08-21 00:00:00
179,100060595,2008-08-22 00:00:00
180,65137469,2008-08-25 00:00:00
181,109584055,2008-08-26 00:00:00
182,89309400,2008-08-27 00:00:00
183,121481114,2008-08-28 00:00:00
184,121693722,2008-08-29 00:00:00
185,87579960,2008-09-01 00:00:00
186,154308359,2008-09-02 00:00:00
187,169750893,2008-09-04 00:00:00
188,145265628,2008-09-05 00:00:00
189,133850126,2008-09-08 00:00:00
190,109755584,2008-09-09 00:00:00
191,132186533,2008-09-10 00:00:00
192,130027143,2008-09-11 00:00:00
193,172235354,2008-09-12 00:00:00
194,150276656,2008-09-15 00:00:00
195,216762382,2008-09-16 00:00:00
196,238125721,2008-09-17 00:00:00
197,238647646,2008-09-18 00:00:00
198,228644549,2008-09-19 00:00:00
199,147377031,2008-09-22 00:00:00
200,125995020,2008-09-23 00:00:00
201,147977121,2008-09-24 00:00:00
202,191042564,2008-09-25 00:00:00
203,149792784,2008-09-26 00:00:00
204,231756868,2008-09-29 00:00:00
205,256357375,2008-09-30 00:00:00
206,177537135,2008-10-01 00:00:00
207,191954083,2008-10-03 00:00:00
208,152698895,2008-10-06 00:00:00
209,207752653,2008-10-07 00:00:00
210,242700568,2008-10-08 00:00:00
211,418430885,2008-10-10 00:00:00
212,299043644,2008-10-13 00:00:00
213,237285717,2008-10-14 00:00:00
214,168131377,2008-10-15 00:00:00
215,282658010,2008-10-16 00:00:00
216,223607706,2008-10-17 00:00:00
217,174984544,2008-10-20 00:00:00
218,204056852,2008-10-21 00:00:00
219,165993001,2008-10-22 00:00:00
220,232628113,2008-10-23 00:00:00
221,281435133,2008-10-24 00:00:00
222,257446144,2008-10-27 00:00:00
223,240269707,2008-10-29 00:00:00
224,280194999,2008-10-31 00:00:00
225,192262932,2008-11-03 00:00:00
226,203705569,2008-11-04 00:00:00
227,252801259,2008-11-05 00:00:00
228,214568202,2008-11-06 00:00:00
229,174141871,2008-11-07 00:00:00
230,140918168,2008-11-10 00:00:00
231,141254827,2008-11-11 00:00:00
232,222344806,2008-11-12 00:00:00
233,227391337,2008-11-14 00:00:00
234,225507595,2008-11-17 00:00:00
235,197880184,2008-11-18 00:00:00
236,222991763,2008-11-19 00:00:00
237,191165466,2008-11-20 00:00:00
238,250796986,2008-11-21 00:00:00
239,213885892,2008-11-24 00:00:00
240,196203012,2008-11-25 00:00:00
241,224532769,2008-11-26 00:00:00
242,240852759,2008-11-28 00:00:00
243,218007754,2008-12-01 00:00:00
244,193496628,2008-12-02 00:00:00
245,193020967,2008-12-03 00:00:00
246,201091861,2008-12-04 00:00:00
247,253361255,2008-12-05 00:00:00
248,213476911,2008-12-08 00:00:00
249,239879686,2008-12-10 00:00:00
250,216733785,2008-12-11 00:00:00
251,186914605,2008-12-12 00:00:00
252,189008290,2008-12-15 00:00:00
253,181587079,2008-12-16 00:00:00
254,218917395,2008-12-17 00:00:00
255,227624791,2008-12-18 00:00:00
256,203499490,2008-12-19 00:00:00
257,126643124,2008-12-22 00:00:00
258,123587933,2008-12-23 00:00:00
259,134293441,2008-12-24 00:00:00
260,105769851,2008-12-26 00:00:00
261,133154821,2008-12-29 00:00:00
262,133622810,2008-12-30 00:00:00
263,122042412,2008-12-31 00:00:00
264,120140021,2009-01-02 00:00:00
265,148035992,2009-01-05 00:00:00
266,205965428,2009-01-06 00:00:00
267,275770178,2009-01-07 00:00:00
268,239323106,2009-01-09 00:00:00
269,192368945,2009-01-12 00:00:00
270,194597664,2009-01-13 00:00:00
271,170081785,2009-01-14 00:00:00
272,180127813,2009-01-15 00:00:00
273,113510476,2009-01-16 00:00:00
274,109087629,2009-01-19 00:00:00
275,109041204,2009-01-20 00:00:00
276,167936937,2009-01-21 00:00:00
277,162978044,2009-01-22 00:00:00
278,182325547,2009-01-23 00:00:00
279,158487678,2009-01-27 00:00:00
280,162590176,2009-01-28 00:00:00
281,197569983,2009-01-29 00:00:00
282,142480326,2009-01-30 00:00:00
283,135705169,2009-02-02 00:00:00
284,143792578,2009-02-03 00:00:00
285,131470291,2009-02-04 00:00:00
286,108914884,2009-02-05 00:00:00
287,107665379,2009-02-06 00:00:00
288,114214208,2009-02-09 00:00:00
289,131446501,2009-02-10 00:00:00
290,107703235,2009-02-11 00:00:00
291,102334264,2009-02-12 00:00:00
292,105881425,2009-02-13 00:00:00
293,126219454,2009-02-16 00:00:00
294,162551943,2009-02-17 00:00:00
295,154541661,2009-02-18 00:00:00
296,144063026,2009-02-19 00:00:00
297,142677087,2009-02-20 00:00:00
