,Volume,Date
0,214030982,2007-12-03 00:00:00
1,218006466,2007-12-04 00:00:00
2,272903067,2007-12-05 00:00:00
3,196518445,2007-12-06 00:00:00
4,190676363,2007-12-07 00:00:00
5,176133166,2007-12-10 00:00:00
6,270720377,2007-12-11 00:00:00
7,285608966,2007-12-12 00:00:00
8,235839576,2007-12-13 00:00:00
9,240267102,2007-12-14 00:00:00
10,214631552,2007-12-17 00:00:00
11,219247183,2007-12-18 00:00:00
12,188738112,2007-12-19 00:00:00
13,199313187,2007-12-20 00:00:00
14,314913150,2007-12-21 00:00:00
15,91629852,2007-12-24 00:00:00
16,127193253,2007-12-26 00:00:00
17,162243811,2007-12-27 00:00:00
18,152801590,2007-12-28 00:00:00
19,176606744,2007-12-31 00:00:00
20,246942641,2008-01-02 00:00:00
21,212207456,2008-01-03 00:00:00
22,251080735,2008-01-04 00:00:00
23,271292212,2008-01-07 00:00:00
24,275518344,2008-01-08 00:00:00
25,296399301,2008-01-09 00:00:00
26,287367082,2008-01-10 00:00:00
27,241638843,2008-01-11 00:00:00
28,226958646,2008-01-14 00:00:00
29,254834808,2008-01-15 00:00:00
30,383610484,2008-01-16 00:00:00
31,381525318,2008-01-17 00:00:00
32,415937912,2008-01-18 00:00:00
33,446306059,2008-01-22 00:00:00
34,534851822,2008-01-23 00:00:00
35,401285292,2008-01-24 00:00:00
36,429864730,2008-01-25 00:00:00
37,257860623,2008-01-28 00:00:00
38,248628174,2008-01-29 00:00:00
39,299566524,2008-01-30 00:00:00
40,356999309,2008-01-31 00:00:00
41,494713399,2008-02-01 00:00:00
42,311273814,2008-02-04 00:00:00
43,375494611,2008-02-05 00:00:00
44,412380491,2008-02-06 00:00:00
45,551132419,2008-02-07 00:00:00
46,327186055,2008-02-08 00:00:00
47,334333355,2008-02-11 00:00:00
48,268416646,2008-02-12 00:00:00
49,282568082,2008-02-13 00:00:00
50,241011074,2008-02-14 00:00:00
51,261071736,2008-02-15 00:00:00
52,250132862,2008-02-19 00:00:00
53,255179058,2008-02-20 00:00:00
54,288440829,2008-02-21 00:00:00
55,286264751,2008-02-22 00:00:00
56,292686337,2008-02-25 00:00:00
57,316489009,2008-02-26 00:00:00
58,271636069,2008-02-27 00:00:00
59,248964064,2008-02-28 00:00:00
60,319737718,2008-02-29 00:00:00
61,234610883,2008-03-03 00:00:00
62,320000142,2008-03-04 00:00:00
63,321423291,2008-03-05 00:00:00
64,286593535,2008-03-06 00:00:00
65,282533305,2008-03-07 00:00:00
66,252791241,2008-03-10 00:00:00
67,309396838,2008-03-11 00:00:00
68,269730614,2008-03-12 00:00:00
69,314803819,2008-03-13 00:00:00
70,344504157,2008-03-14 00:00:00
71,313363255,2008-03-17 00:00:00
72,313348323,2008-03-18 00:00:00
73,276593575,2008-03-19 00:00:00
74,330489868,2008-03-20 00:00:00
75,220729373,2008-03-24 00:00:00
76,219523540,2008-03-25 00:00:00
77,236190030,2008-03-26 00:00:00
78,213192083,2008-03-27 00:00:00
79,190269825,2008-03-28 00:00:00
80,243516925,2008-03-31 00:00:00
81,246688850,2008-04-01 00:00:00
