,Volume,Date
0,61012892,2011-03-07 00:00:00
1,63616496,2011-03-08 00:00:00
2,71153678,2011-03-09 00:00:00
3,46079039,2011-03-10 00:00:00
4,60621998,2011-03-11 00:00:00
5,55288351,2011-03-14 00:00:00
6,96828756,2011-03-15 00:00:00
7,76135533,2011-03-16 00:00:00
8,95629124,2011-03-17 00:00:00
9,68870457,2011-03-18 00:00:00
10,49892087,2011-03-21 00:00:00
11,55165536,2011-03-22 00:00:00
12,67699887,2011-03-23 00:00:00
13,51283507,2011-03-24 00:00:00
14,78557815,2011-03-25 00:00:00
15,95651825,2011-03-28 00:00:00
16,82891639,2011-03-29 00:00:00
17,71580502,2011-03-30 00:00:00
18,168584070,2011-03-31 00:00:00
19,78109754,2011-04-01 00:00:00
20,61575169,2011-04-04 00:00:00
21,60078177,2011-04-05 00:00:00
22,67594691,2011-04-06 00:00:00
23,59517315,2011-04-07 00:00:00
24,61572578,2011-04-08 00:00:00
25,64178301,2011-04-11 00:00:00
26,90752221,2011-04-13 00:00:00
27,162646745,2011-04-15 00:00:00
28,117681586,2011-04-18 00:00:00
29,73292263,2011-04-19 00:00:00
30,78880055,2011-04-20 00:00:00
31,106277072,2011-04-21 00:00:00
32,66496229,2011-04-25 00:00:00
33,81644606,2011-04-26 00:00:00
34,78208959,2011-04-27 00:00:00
35,148736596,2011-04-28 00:00:00
36,80841908,2011-04-29 00:00:00
37,66594847,2011-05-02 00:00:00
38,129784813,2011-05-03 00:00:00
39,91063871,2011-05-04 00:00:00
40,88823257,2011-05-05 00:00:00
41,87986605,2011-05-06 00:00:00
42,46433263,2011-05-09 00:00:00
43,52023606,2011-05-10 00:00:00
44,60037851,2011-05-11 00:00:00
45,52823691,2011-05-12 00:00:00
46,78026406,2011-05-13 00:00:00
47,49292110,2011-05-16 00:00:00
48,129895326,2011-05-17 00:00:00
49,114929332,2011-05-18 00:00:00
50,73343483,2011-05-19 00:00:00
51,78377596,2011-05-20 00:00:00
52,77954273,2011-05-23 00:00:00
53,66716397,2011-05-24 00:00:00
54,86833660,2011-05-25 00:00:00
55,111250461,2011-05-26 00:00:00
56,72914388,2011-05-27 00:00:00
57,48734173,2011-05-30 00:00:00
58,89070838,2011-05-31 00:00:00
59,66860691,2011-06-01 00:00:00
60,63335743,2011-06-02 00:00:00
61,57680286,2011-06-03 00:00:00
62,42162077,2011-06-06 00:00:00
63,48402450,2011-06-07 00:00:00
64,47211167,2011-06-08 00:00:00
65,51761007,2011-06-09 00:00:00
66,52497289,2011-06-10 00:00:00
67,53714109,2011-06-13 00:00:00
68,62333060,2011-06-14 00:00:00
69,63125201,2011-06-15 00:00:00
70,78472462,2011-06-16 00:00:00
71,60045087,2011-06-17 00:00:00
72,89608357,2011-06-20 00:00:00
73,75793555,2011-06-21 00:00:00
74,64213542,2011-06-22 00:00:00
75,51376371,2011-06-23 00:00:00
76,106885012,2011-06-24 00:00:00
77,95362245,2011-06-27 00:00:00
78,67963377,2011-06-28 00:00:00
79,74402483,2011-06-29 00:00:00
80,119755330,2011-06-30 00:00:00
81,71859023,2011-07-01 00:00:00
82,47537461,2011-07-04 00:00:00
83,63998415,2011-07-05 00:00:00
84,56263012,2011-07-06 00:00:00
85,75205925,2011-07-07 00:00:00
86,74980285,2011-07-08 00:00:00
87,48060093,2011-07-11 00:00:00
88,80507259,2011-07-12 00:00:00
89,62351144,2011-07-13 00:00:00
90,68820063,2011-07-14 00:00:00
91,48058902,2011-07-15 00:00:00
92,39221979,2011-07-18 00:00:00
93,53597155,2011-07-19 00:00:00
94,43963501,2011-07-20 00:00:00
95,41359645,2011-07-21 00:00:00
96,65717109,2011-07-22 00:00:00
97,75648447,2011-07-25 00:00:00
98,85641294,2011-07-26 00:00:00
99,65448388,2011-07-27 00:00:00
100,95807447,2011-07-28 00:00:00
101,88532540,2011-07-29 00:00:00
102,49410204,2011-08-01 00:00:00
103,55372171,2011-08-02 00:00:00
104,71677950,2011-08-03 00:00:00
105,56778453,2011-08-04 00:00:00
106,96739522,2011-08-05 00:00:00
107,92735707,2011-08-08 00:00:00
108,126296019,2011-08-09 00:00:00
109,81333755,2011-08-10 00:00:00
110,67266788,2011-08-11 00:00:00
111,92776292,2011-08-12 00:00:00
112,85908455,2011-08-16 00:00:00
113,87979402,2011-08-17 00:00:00
114,107617656,2011-08-18 00:00:00
115,142558547,2011-08-19 00:00:00
116,79395344,2011-08-22 00:00:00
117,95665828,2011-08-23 00:00:00
118,84038453,2011-08-24 00:00:00
119,140486951,2011-08-25 00:00:00
120,99282431,2011-08-26 00:00:00
121,79044534,2011-08-29 00:00:00
122,103650376,2011-08-30 00:00:00
123,125064266,2011-09-02 00:00:00
124,83301957,2011-09-05 00:00:00
125,110392353,2011-09-06 00:00:00
126,93262989,2011-09-07 00:00:00
127,94172541,2011-09-08 00:00:00
128,105386984,2011-09-09 00:00:00
129,88950445,2011-09-12 00:00:00
130,93998104,2011-09-13 00:00:00
131,112072578,2011-09-14 00:00:00
132,95757208,2011-09-15 00:00:00
133,140066567,2011-09-16 00:00:00
134,52611440,2011-09-19 00:00:00
135,73856362,2011-09-20 00:00:00
136,81219294,2011-09-21 00:00:00
137,83255259,2011-09-22 00:00:00
138,120533223,2011-09-23 00:00:00
139,91916397,2011-09-26 00:00:00
140,77611165,2011-09-27 00:00:00
141,91878759,2011-09-28 00:00:00
142,124429319,2011-09-29 00:00:00
143,93998075,2011-09-30 00:00:00
144,75025723,2011-10-03 00:00:00
145,125143650,2011-10-04 00:00:00
146,152386174,2011-10-05 00:00:00
