,Volume,Date
0,126418124,2022-02-24 00:00:00
1,79688746,2022-02-25 00:00:00
2,99834547,2022-02-28 00:00:00
3,108705751,2022-03-02 00:00:00
4,82702253,2022-03-03 00:00:00
5,86372126,2022-03-04 00:00:00
6,122254706,2022-03-07 00:00:00
7,136528852,2022-03-08 00:00:00
8,121131295,2022-03-09 00:00:00
9,115644751,2022-03-10 00:00:00
10,71885113,2022-03-11 00:00:00
11,89980068,2022-03-14 00:00:00
12,96928727,2022-03-15 00:00:00
13,62829716,2022-03-16 00:00:00
14,99407497,2022-03-17 00:00:00
15,67030222,2022-03-21 00:00:00
16,78165797,2022-03-22 00:00:00
17,68996390,2022-03-23 00:00:00
18,69153092,2022-03-24 00:00:00
19,55964469,2022-03-25 00:00:00
20,64182603,2022-03-28 00:00:00
21,63595570,2022-03-29 00:00:00
22,79211859,2022-03-30 00:00:00
23,62817290,2022-03-31 00:00:00
24,60843264,2022-04-01 00:00:00
25,137314952,2022-04-04 00:00:00
26,67729076,2022-04-05 00:00:00
27,68982340,2022-04-06 00:00:00
28,86999346,2022-04-07 00:00:00
29,81829922,2022-04-08 00:00:00
30,61876254,2022-04-11 00:00:00
31,70708031,2022-04-12 00:00:00
32,71008654,2022-04-13 00:00:00
