,Volume,Date
0,143466798,2001-09-11 00:00:00
1,288825152,2001-09-12 00:00:00
2,111745443,2001-09-13 00:00:00
3,123433828,2001-09-14 00:00:00
4,140470127,2001-09-17 00:00:00
5,118242675,2001-09-18 00:00:00
6,109554799,2001-09-19 00:00:00
7,89659756,2001-09-20 00:00:00
8,146659498,2001-09-21 00:00:00
9,13152604,2001-09-24 00:00:00
10,191005367,2001-09-25 00:00:00
11,114482684,2001-09-26 00:00:00
12,105930556,2001-09-27 00:00:00
13,18845071,2001-09-28 00:00:00
14,160553183,2001-10-03 00:00:00
15,99451918,2001-10-04 00:00:00
16,107971363,2001-10-05 00:00:00
17,94128280,2001-10-08 00:00:00
18,111540223,2001-10-09 00:00:00
19,96590722,2001-10-10 00:00:00
20,83632658,2001-10-11 00:00:00
21,114878432,2001-10-12 00:00:00
22,72415143,2001-10-15 00:00:00
23,54355865,2001-10-16 00:00:00
24,93761404,2001-10-17 00:00:00
25,134309579,2001-10-18 00:00:00
26,123606196,2001-10-19 00:00:00
27,75503840,2001-10-22 00:00:00
28,144509570,2001-10-23 00:00:00
29,96946276,2001-10-24 00:00:00
30,107192009,2001-10-26 00:00:00
31,85230719,2001-10-29 00:00:00
32,130453797,2001-10-30 00:00:00
33,93036206,2001-10-31 00:00:00
34,57773557,2001-11-01 00:00:00
35,75865263,2001-11-02 00:00:00
36,82683630,2001-11-05 00:00:00
37,118930281,2001-11-06 00:00:00
38,96466664,2001-11-07 00:00:00
39,103847818,2001-11-08 00:00:00
40,6667587,2001-11-09 00:00:00
41,78867536,2001-11-12 00:00:00
42,72151036,2001-11-13 00:00:00
43,80422817,2001-11-14 00:00:00
44,284331529,2001-11-15 00:00:00
45,582414747,2001-11-16 00:00:00
46,193802516,2001-11-19 00:00:00
47,167960597,2001-11-20 00:00:00
48,154194414,2001-11-21 00:00:00
49,155702748,2001-11-22 00:00:00
50,112675049,2001-11-23 00:00:00
51,151495369,2001-11-26 00:00:00
52,116806886,2001-11-27 00:00:00
53,76893120,2001-11-28 00:00:00
54,105948500,2001-11-29 00:00:00
55,99424890,2001-11-30 00:00:00
56,71827531,2001-12-03 00:00:00
57,85382088,2001-12-04 00:00:00
58,132548520,2001-12-05 00:00:00
59,246016717,2001-12-06 00:00:00
60,70853465,2001-12-07 00:00:00
61,79458490,2001-12-10 00:00:00
62,60358348,2001-12-11 00:00:00
63,125707142,2001-12-12 00:00:00
64,79027940,2001-12-13 00:00:00
65,95662429,2001-12-14 00:00:00
66,44814211,2001-12-17 00:00:00
67,27942613,2001-12-18 00:00:00
68,53441536,2001-12-19 00:00:00
69,69143615,2001-12-20 00:00:00
70,86684223,2001-12-21 00:00:00
71,31699789,2001-12-24 00:00:00
72,63070874,2001-12-27 00:00:00
73,54370560,2001-12-28 00:00:00
74,39124565,2001-12-31 00:00:00
75,53953229,2002-01-02 00:00:00
76,2859367,2002-01-03 00:00:00
77,85110595,2002-01-04 00:00:00
78,84511726,2002-01-07 00:00:00
79,78159595,2002-01-08 00:00:00
80,125922264,2002-01-09 00:00:00
81,145046406,2002-01-10 00:00:00
82,129604985,2002-01-11 00:00:00
83,81030031,2002-01-14 00:00:00
84,82487839,2002-01-15 00:00:00
85,47029683,2002-01-16 00:00:00
86,48326988,2002-01-17 00:00:00
87,40935846,2002-01-18 00:00:00
88,45191670,2002-01-21 00:00:00
89,52513378,2002-01-22 00:00:00
90,73648817,2002-01-23 00:00:00
91,67733498,2002-01-24 00:00:00
92,88470737,2002-01-25 00:00:00
93,92774530,2002-01-28 00:00:00
94,144976734,2002-01-29 00:00:00
95,105953359,2002-01-30 00:00:00
96,9042683,2002-01-31 00:00:00
97,63856120,2002-02-01 00:00:00
98,55463951,2002-02-04 00:00:00
99,61830475,2002-02-05 00:00:00
100,77337970,2002-02-06 00:00:00
101,65404306,2002-02-07 00:00:00
102,67897058,2002-02-08 00:00:00
103,45739861,2002-02-11 00:00:00
104,114265406,2002-02-15 00:00:00
105,119133095,2002-02-18 00:00:00
106,90638171,2002-02-19 00:00:00
107,78216478,2002-02-20 00:00:00
108,171036854,2002-02-21 00:00:00
109,124210918,2002-02-22 00:00:00
110,61999497,2002-02-25 00:00:00
111,58275011,2002-02-26 00:00:00
112,86809364,2002-02-27 00:00:00
113,72530544,2002-02-28 00:00:00
114,57782819,2002-03-01 00:00:00
115,73177029,2002-03-04 00:00:00
116,100879318,2002-03-05 00:00:00
117,101306944,2002-03-06 00:00:00
118,174036044,2002-03-07 00:00:00
119,196447128,2002-03-08 00:00:00
120,104414132,2002-03-11 00:00:00
