,Volume,Date
0,56820803,2001-09-11 00:00:00
1,59694867,2001-09-12 00:00:00
2,67027744,2001-09-13 00:00:00
3,79740083,2001-09-14 00:00:00
4,73567835,2001-09-17 00:00:00
5,150119472,2001-09-18 00:00:00
6,72597689,2001-09-19 00:00:00
7,91198783,2001-09-20 00:00:00
8,71408348,2001-09-21 00:00:00
9,101855366,2001-09-24 00:00:00
10,106503278,2001-09-25 00:00:00
11,99960722,2001-09-26 00:00:00
12,108903290,2001-09-27 00:00:00
13,113480758,2001-09-28 00:00:00
14,136490817,2001-10-01 00:00:00
15,96403305,2001-10-03 00:00:00
16,134642868,2001-10-04 00:00:00
17,93833389,2001-10-05 00:00:00
18,99178400,2001-10-08 00:00:00
19,88583823,2001-10-09 00:00:00
20,118850732,2001-10-10 00:00:00
21,85713944,2001-10-11 00:00:00
22,124045384,2001-10-12 00:00:00
23,72149372,2001-10-15 00:00:00
24,68925977,2001-10-16 00:00:00
25,75112011,2001-10-17 00:00:00
26,54894886,2001-10-18 00:00:00
27,64610938,2001-10-19 00:00:00
28,80696855,2001-10-22 00:00:00
29,49415048,2001-10-23 00:00:00
30,79221620,2001-10-24 00:00:00
31,47719966,2001-10-25 00:00:00
32,41418218,2001-10-29 00:00:00
33,71541238,2001-10-30 00:00:00
34,126267657,2001-10-31 00:00:00
35,74775748,2001-11-01 00:00:00
36,86470977,2001-11-02 00:00:00
37,53235526,2001-11-05 00:00:00
38,49882480,2001-11-06 00:00:00
39,47812121,2001-11-07 00:00:00
40,51477403,2001-11-08 00:00:00
41,46398319,2001-11-09 00:00:00
42,30073372,2001-11-12 00:00:00
43,42902401,2001-11-13 00:00:00
44,15544662,2001-11-14 00:00:00
45,82833624,2001-11-15 00:00:00
46,78322652,2001-11-19 00:00:00
47,96915936,2001-11-20 00:00:00
48,71869171,2001-11-21 00:00:00
49,62240002,2001-11-22 00:00:00
50,59437212,2001-11-23 00:00:00
51,61140866,2001-11-26 00:00:00
52,90812555,2001-11-27 00:00:00
53,74776978,2001-11-28 00:00:00
54,93049220,2001-11-29 00:00:00
55,55484150,2001-12-03 00:00:00
56,61275059,2001-12-04 00:00:00
57,81557616,2001-12-05 00:00:00
58,101176164,2001-12-06 00:00:00
59,60639512,2001-12-07 00:00:00
60,48141903,2001-12-10 00:00:00
61,62831909,2001-12-11 00:00:00
62,63972214,2001-12-12 00:00:00
63,88088735,2001-12-13 00:00:00
64,46500568,2001-12-14 00:00:00
65,54284056,2001-12-18 00:00:00
66,59636509,2001-12-19 00:00:00
67,66376019,2001-12-20 00:00:00
68,48084667,2001-12-21 00:00:00
69,37889611,2001-12-24 00:00:00
70,38553047,2001-12-26 00:00:00
71,59050195,2001-12-27 00:00:00
72,71548463,2001-12-28 00:00:00
73,48498626,2001-12-31 00:00:00
74,66371601,2002-01-01 00:00:00
75,55697731,2002-01-02 00:00:00
76,69546814,2002-01-03 00:00:00
77,90561473,2002-01-04 00:00:00
78,63770113,2002-01-07 00:00:00
79,68080098,2002-01-08 00:00:00
80,108922720,2002-01-09 00:00:00
81,99175199,2002-01-10 00:00:00
82,96765568,2002-01-11 00:00:00
83,93242278,2002-01-14 00:00:00
84,64469198,2002-01-15 00:00:00
85,78686113,2002-01-16 00:00:00
86,89995991,2002-01-17 00:00:00
87,71212961,2002-01-18 00:00:00
88,52521199,2002-01-21 00:00:00
89,57828958,2002-01-22 00:00:00
90,46250206,2002-01-23 00:00:00
91,38936817,2002-01-24 00:00:00
92,43842884,2002-01-25 00:00:00
93,54693136,2002-01-28 00:00:00
94,55773062,2002-01-29 00:00:00
95,59300351,2002-01-30 00:00:00
96,105347089,2002-01-31 00:00:00
97,73853964,2002-02-01 00:00:00
98,59356585,2002-02-04 00:00:00
99,76491336,2002-02-05 00:00:00
100,94564453,2002-02-06 00:00:00
101,175570622,2002-02-07 00:00:00
102,118183375,2002-02-08 00:00:00
103,74023483,2002-02-11 00:00:00
104,60938047,2002-02-12 00:00:00
105,99039294,2002-02-13 00:00:00
106,81262358,2002-02-14 00:00:00
107,76379696,2002-02-15 00:00:00
108,70195940,2002-02-18 00:00:00
109,58229222,2002-02-19 00:00:00
110,56868777,2002-02-20 00:00:00
111,55517934,2002-02-21 00:00:00
112,44039613,2002-02-22 00:00:00
113,40535717,2002-02-25 00:00:00
114,100446125,2002-02-26 00:00:00
115,116358685,2002-02-27 00:00:00
116,212541344,2002-02-28 00:00:00
117,95789932,2002-03-01 00:00:00
118,120367665,2002-03-04 00:00:00
119,103068767,2002-03-05 00:00:00
120,86481231,2002-03-06 00:00:00
121,91721065,2002-03-07 00:00:00
122,88753639,2002-03-08 00:00:00
123,98806206,2002-03-11 00:00:00
