Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,year,USD_value,OpenUSD,HighUSD,LowUSD,CloseUSD
1962-01-02,1.7128681387828828,1.7128681387828828,1.6936222314834597,1.6936222314834597,407940,0.0,0.0,1962,1,1.7128681387828828,1.7128681387828828,1.6936222314834597,1.6936222314834597
1962-01-03,1.6936221704712122,1.708426594734192,1.6936221704712122,1.708426594734192,305955,0.0,0.0,1962,1,1.6936221704712122,1.708426594734192,1.6936221704712122,1.708426594734192
1962-01-04,1.7084273785791064,1.7084273785791064,1.6906621056166953,1.6914023160934448,274575,0.0,0.0,1962,1,1.7084273785791064,1.7084273785791064,1.6906621056166953,1.6914023160934448
1962-01-05,1.6891815473075829,1.6891815473075829,1.6551314273377191,1.658092379570007,384405,0.0,0.0,1962,1,1.6891815473075829,1.6891815473075829,1.6551314273377191,1.658092379570007
1962-01-08,1.6566114494722557,1.6566114494722557,1.6136788125457844,1.6270025968551636,572685,0.0,0.0,1962,1,1.6566114494722557,1.6566114494722557,1.6136788125457844,1.6270025968551636
1962-01-09,1.6344057032598462,1.6669755231879215,1.6344057032598462,1.646249294281006,517770,0.0,0.0,1962,1,1.6344057032598462,1.6669755231879215,1.6344057032598462,1.646249294281006
1962-01-10,1.6492086648941038,1.6566107642263748,1.6492086648941038,1.649208664894104,313800,0.0,0.0,1962,1,1.6492086648941038,1.6566107642263748,1.6492086648941038,1.649208664894104
1962-01-11,1.653650311122166,1.666974425315857,1.653650311122166,1.666974425315857,337335,0.0,0.0,1962,1,1.653650311122166,1.666974425315857,1.653650311122166,1.666974425315857
1962-01-12,1.6699360609054563,1.681779428245498,1.6699360609054563,1.6699360609054563,462855,0.0,0.0,1962,1,1.6699360609054563,1.681779428245498,1.6699360609054563,1.6699360609054563
1962-01-15,1.6758571152647754,1.6810388083931156,1.6758571152647754,1.677337646484375,266730,0.0,0.0,1962,1,1.6758571152647754,1.6810388083931156,1.6758571152647754,1.677337646484375
1962-01-16,1.6758569781722017,1.6758569781722017,1.659572243690491,1.6595722436904907,266730,0.0,0.0,1962,1,1.6758569781722017,1.6758569781722017,1.659572243690491,1.6595722436904907
1962-01-17,1.652171071039742,1.652171071039742,1.6284840000264933,1.6329251527786257,439320,0.0,0.0,1962,1,1.652171071039742,1.652171071039742,1.6284840000264933,1.6329251527786257
1962-01-18,1.637366056442261,1.6536507942990113,1.637366056442261,1.6373660564422607,392250,0.0,0.0,1962,1,1.637366056442261,1.6536507942990113,1.637366056442261,1.6373660564422607
1962-01-19,1.637365253775594,1.6418064027737016,1.6195998824622424,1.6388455629348757,423630,0.0,0.0,1962,1,1.637365253775594,1.6418064027737016,1.6195998824622424,1.6388455629348757
1962-01-22,1.638845601719199,1.6551305534985314,1.6344043418558547,1.6358847618103027,290265,0.0,0.0,1962,1,1.638845601719199,1.6551305534985314,1.6344043418558547,1.6358847618103027
1962-01-23,1.6351455228378151,1.637366153937754,1.6166399313910809,1.619600772857666,392250,0.0,0.0,1962,1,1.6351455228378151,1.637366153937754,1.6166399313910809,1.619600772857666
1962-01-24,1.6196003136206525,1.6284830570220947,1.6114580018962927,1.6284830570220947,431475,0.0,0.0,1962,1,1.6196003136206525,1.6284830570220947,1.6114580018962927,1.6284830570220947
1962-01-25,1.6284836325964114,1.6418074201272754,1.6077574086011328,1.6107182502746582,337335,0.0,0.0,1962,1,1.6284836325964114,1.6418074201272754,1.6077574086011328,1.6107182502746582
1962-01-26,1.6107194107317686,1.616641209105432,1.6018367685514137,1.6025770902633667,258885,0.0,0.0,1962,1,1.6107194107317686,1.616641209105432,1.6018367685514137,1.6025770902633667
