Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,year,USD_value,OpenUSD,HighUSD,LowUSD,CloseUSD
1962-01-02,0.0,0.1026108338394644,0.1018544733524322,0.1018544733524322,902400,0.0,0.0,1962,1,0.0,0.1026108338394644,0.1018544733524322,0.1018544733524322
1962-01-03,0.0,0.1033672168850898,0.1018544955808931,0.1033672168850898,1200000,0.0,0.0,1962,1,0.0,0.1033672168850898,0.1018544955808931,0.1033672168850898
1962-01-04,0.0,0.1041234392531736,0.1031149796440593,0.1036192402243614,1088000,0.0,0.0,1962,1,0.0,0.1041234392531736,0.1031149796440593,0.1036192402243614
1962-01-05,0.0,0.1041235275784981,0.1010981461848017,0.1013503074645996,1222400,0.0,0.0,1962,1,0.0,0.1041235275784981,0.1010981461848017,0.1013503074645996
1962-01-08,0.0,0.1021065954678468,0.0998375750589366,0.1010981351137161,1388800,0.0,0.0,1962,1,0.0,0.1021065954678468,0.0998375750589366,0.1010981351137161
1962-01-09,0.0,0.1018544675409793,0.1005939078355299,0.1008460074663162,1065600,0.0,0.0,1962,1,0.0,0.1018544675409793,0.1005939078355299,0.1008460074663162
1962-01-10,0.0,0.1008460185436977,0.1000896580167388,0.1003418192267417,828800,0.0,0.0,1962,1,0.0,0.1008460185436977,0.1000896580167388,0.1003418192267417
1962-01-11,0.0,0.1013503074645996,0.10059394672829,0.1013503074645996,617600,0.0,0.0,1962,1,0.0,0.1013503074645996,0.10059394672829,0.1013503074645996
1962-01-12,0.0,0.1028629019856453,0.1016023425942851,0.1028629019856453,1398400,0.0,0.0,1962,1,0.0,0.1028629019856453,0.1016023425942851,0.1028629019856453
1962-01-15,0.0,0.1028629019856453,0.1018544421622566,0.1028629019856453,966400,0.0,0.0,1962,1,0.0,0.1028629019856453,0.1018544421622566,0.1028629019856453
1962-01-16,0.0,0.1028628791308091,0.1021065190434455,0.1021065190434455,569600,0.0,0.0,1962,1,0.0,0.1028628791308091,0.1021065190434455,0.1021065190434455
1962-01-17,0.0,0.1028629579361158,0.1008460371922704,0.1016023978590965,832000,0.0,0.0,1962,1,0.0,0.1028629579361158,0.1008460371922704,0.1016023978590965
1962-01-18,0.0,0.1021065729976023,0.1010981128654,0.1018544733524322,844800,0.0,0.0,1962,1,0.0,0.1021065729976023,0.1010981128654,0.1018544733524322
1962-01-19,0.0,0.1026108190417289,0.1018544586637732,0.1026108190417289,720000,0.0,0.0,1962,1,0.0,0.1026108190417289,0.1018544586637732,0.1026108190417289
1962-01-22,0.0,0.1028629019856453,0.1023587028497024,0.1028629019856453,745600,0.0,0.0,1962,1,0.0,0.1028629019856453,0.1023587028497024,0.1028629019856453
1962-01-23,0.0,0.102610779618851,0.1018544195314874,0.1021065190434455,908800,0.0,0.0,1962,1,0.0,0.102610779618851,0.1018544195314874,0.1021065190434455
1962-01-24,0.0,0.1023586801068929,0.1013502205075712,0.1021065190434455,841600,0.0,0.0,1962,1,0.0,0.1023586801068929,0.1013502205075712,0.1021065190434455
1962-01-25,0.0,0.1028629578593714,0.1021065971931096,0.1023587584495544,1078400,0.0,0.0,1962,1,0.0,0.1028629578593714,0.1021065971931096,0.1023587584495544
1962-01-26,0.0,0.1028629019856453,0.102106541730228,0.1028629019856453,832000,0.0,0.0,1962,1,0.0,0.1028629019856453,0.102106541730228,0.1028629019856453
1962-01-29,0.0,0.1046278497019441,0.1028630274701982,0.1043757498264312,1462400,0.0,0.0,1962,1,0.0,0.1046278497019441,0.1028630274701982,0.1043757498264312
1962-01-30,0.0,0.1053841263055801,0.1046277657344696,0.1053841263055801,1843200,0.0,0.0,1962,1,0.0,0.1053841263055801,0.1046277657344696,0.1053841263055801
1962-01-31,0.0,0.10689677298069,0.1056362132154961,0.10689677298069,1718400,0.0,0.0,1962,1,0.0,0.10689677298069,0.1056362132154961,0.10689677298069
1962-02-01,0.0,0.1089137569069862,0.1068968354827827,0.1089137569069862,2371200,0.0,0.0,1962,1,0.0,0.1089137569069862,0.1068968354827827,0.1089137569069862
